kategorie,instrument,typ,position_usd,handel_usd,provision_usd,sonstige_usd,gesamt_usd,hinweis
Stillhaltergeschaeft,ACN 22MAR24 345 P,Option Short (laut Report),-470.0,555.0,-1.5,0.0,83.5,Aus Aktien- und Indexoptionen
Stillhaltergeschaeft,ASO 22MAR24 63 P,Option Short (laut Report),215.4,-103.4,-6.0,0.0,106.0,Aus Aktien- und Indexoptionen
Stillhaltergeschaeft,CAR 19JAN24 160 P,Option Short (laut Report),185.0,77.0,-6.0,0.0,256.0,Aus Aktien- und Indexoptionen
Stillhaltergeschaeft,CMCSA 08MAR24 41 P,Option Short (laut Report),132.0,-18.0,-18.0,0.0,96.0,Aus Aktien- und Indexoptionen
Stillhaltergeschaeft,CSCO 16FEB24 48 P,Option Short (laut Report),0.0,-4.0,-12.0,0.0,-16.0,Aus Aktien- und Indexoptionen
Stillhaltergeschaeft,DD 26JAN24 62 P,Option Short (laut Report),30.0,70.0,-6.0,0.0,94.0,Aus Aktien- und Indexoptionen
Stillhaltergeschaeft,DE 16FEB24 360 P,Option Short (laut Report),80.0,-3.0,-3.0,0.0,74.0,Aus Aktien- und Indexoptionen
Stillhaltergeschaeft,DELL 24MAY24 134 P,Option Short (laut Report),176.06,19.94,-6.0,0.0,190.0,Aus Aktien- und Indexoptionen
Stillhaltergeschaeft,DHI 15MAR24 146 P,Option Short (laut Report),125.0,15.0,-3.0,0.0,137.0,Aus Aktien- und Indexoptionen
Stillhaltergeschaeft,DHI 17MAY24 145 P,Option Short (laut Report),286.28,-50.28,-6.0,0.0,230.0,Aus Aktien- und Indexoptionen
Stillhaltergeschaeft,DHI 14JUN24 135 P,Option Short (laut Report),100.04,-4.04,-6.0,0.0,90.0,Aus Aktien- und Indexoptionen
Stillhaltergeschaeft,DHI 21JUN24 137 P,Option Short (laut Report),106.96,33.04,-6.0,0.0,134.0,Aus Aktien- und Indexoptionen
Stillhaltergeschaeft,FCX 29DEC23 44 C,Option Short (laut Report),0.0,0.0,0.0,0.0,0.0,Aus Aktien- und Indexoptionen
Stillhaltergeschaeft,FCX 05JAN24 43 C,Option Short (laut Report),133.0,56.0,-10.5,0.0,178.5,Aus Aktien- und Indexoptionen
Stillhaltergeschaeft,FCX 12JAN24 42.5 C,Option Short (laut Report),273.0,-42.0,-10.5,0.0,220.5,Aus Aktien- und Indexoptionen
Stillhaltergeschaeft,FCX 08MAR24 41.5 C,Option Short (laut Report),28.0,21.0,-10.5,0.0,38.5,Aus Aktien- und Indexoptionen
Stillhaltergeschaeft,FCX 22MAR24 42.5 C,Option Short (laut Report),-739.9,1404.9,-10.5,0.0,654.5,Aus Aktien- und Indexoptionen
