row_id,section,symbol,description,category,datetime,action,qty,price,kurswert,pnl_position,pnl_trade,commission,other,pnl_total,fx_component_eur,fx_method,parse_flag,pair_id,entry_datetime,entry_price,entry_qty,exit_datetime,exit_price,exit_qty,realized_pnl,realized_pnl_method,uncertainty
1,Aktie,ACN,,Aktie,2024-03-22 16:20:00,Zugeteilt,100,345.00,"34,500.00","-1,118.00",0.00,0.00,,"-1,118.00",,Nicht pro Trade isolierbar aus MTM-PDF; nur Klassen-Gesamtwert in EUR vorhanden,OK,,,,,,,,,,ENTRY/Bestandsaufbau
2,Aktie,ACN,,Aktie,2024-08-05 09:46:09,Verkauf,-100,314.23,"-31,423.00",49.00,-1.26,0.00,,47.74,,Nicht pro Trade isolierbar aus MTM-PDF; nur Klassen-Gesamtwert in EUR vorhanden,OK,P0001,2024-03-22 16:20:00,345.0,100.0,2024-08-05 09:46:09,314.23,100.0,47.74,"Bestandsgegenrichtung (FIFO, heuristisch)",
3,Aktie,FCX,FREEPORT-MCMORAN INC,Aktie,2024-03-22 16:20:00,Zugeteilt,-700,42.50,"-29,750.00","-1,995.00",0.00,0.00,,"-1,995.00",,Nicht pro Trade isolierbar aus MTM-PDF; nur Klassen-Gesamtwert in EUR vorhanden,OK,,,,,,,,,,ENTRY/Bestandsaufbau
4,Aktie,HAL,HALLIBURTON CO,Aktie,2024-01-26 16:20:00,Zugeteilt,-700,36.00,"-25,200.00",-833.00,-0.32,0.00,,-833.32,,Nicht pro Trade isolierbar aus MTM-PDF; nur Klassen-Gesamtwert in EUR vorhanden,OK,,,,,,,,,,ENTRY/Bestandsaufbau
5,Aktie,HD,HOME DEPOT INC,Aktie,2024-04-19 16:20:00,Zugeteilt,100,337.50,"33,750.00",-214.00,0.00,0.00,,-214.00,,Nicht pro Trade isolierbar aus MTM-PDF; nur Klassen-Gesamtwert in EUR vorhanden,OK,,,,,,,,,,ENTRY/Bestandsaufbau
6,Aktie,HD,HOME DEPOT INC,Aktie,2024-05-03 16:20:00,Zugeteilt,-100,340.00,"-34,000.00",-229.00,0.00,0.00,,-229.00,,Nicht pro Trade isolierbar aus MTM-PDF; nur Klassen-Gesamtwert in EUR vorhanden,OK,P0002,2024-04-19 16:20:00,337.5,100.0,2024-05-03 16:20:00,340.0,100.0,-229.00,"Bestandsgegenrichtung (FIFO, heuristisch)",
7,Aktie,JD,JD.COM INC-ADR,Aktie,2024-06-28 16:20:00,Zugeteilt,900,27.50,"24,750.00","-1,539.00",0.00,0.00,,"-1,539.00",,Nicht pro Trade isolierbar aus MTM-PDF; nur Klassen-Gesamtwert in EUR vorhanden,OK,,,,,,,,,,ENTRY/Bestandsaufbau
8,Aktie,JD,JD.COM INC-ADR,Aktie,2024-07-12 16:20:00,Zugeteilt,-900,28.00,"-25,200.00","1,215.00",-0.15,0.00,,"1,214.85",,Nicht pro Trade isolierbar aus MTM-PDF; nur Klassen-Gesamtwert in EUR vorhanden,OK,P0003,2024-06-28 16:20:00,27.5,900.0,2024-07-12 16:20:00,28.0,900.0,"1,214.85","Bestandsgegenrichtung (FIFO, heuristisch)",
9,Aktie,NTES,NETEASE INC-ADR,Aktie,2024-04-12 16:20:00,Zugeteilt,300,93.00,"27,900.00",-249.00,0.00,0.00,,-249.00,,Nicht pro Trade isolierbar aus MTM-PDF; nur Klassen-Gesamtwert in EUR vorhanden,OK,,,,,,,,,,ENTRY/Bestandsaufbau
10,Aktie,NTES,NETEASE INC-ADR,Aktie,2024-05-03 16:20:00,Zugeteilt,-300,99.00,"-29,700.00",-858.00,0.00,0.00,,-858.00,,Nicht pro Trade isolierbar aus MTM-PDF; nur Klassen-Gesamtwert in EUR vorhanden,OK,P0004,2024-04-12 16:20:00,93.0,300.0,2024-05-03 16:20:00,99.0,300.0,-858.00,"Bestandsgegenrichtung (FIFO, heuristisch)",
11,Aktie,NTES,NETEASE INC-ADR,Aktie,2024-05-31 16:20:00,Zugeteilt,300,92.00,"27,600.00","-1,107.00",0.00,0.00,,"-1,107.00",,Nicht pro Trade isolierbar aus MTM-PDF; nur Klassen-Gesamtwert in EUR vorhanden,OK,,,,,,,,,,ENTRY/Bestandsaufbau
12,Aktie,NTES,NETEASE INC-ADR,Aktie,2024-06-07 16:20:00,Zugeteilt,-300,92.00,"-27,600.00",-648.00,0.00,0.00,,-648.00,,Nicht pro Trade isolierbar aus MTM-PDF; nur Klassen-Gesamtwert in EUR vorhanden,OK,P0005,2024-05-31 16:20:00,92.0,300.0,2024-06-07 16:20:00,92.0,300.0,-648.00,"Bestandsgegenrichtung (FIFO, heuristisch)",
13,Aktie,NXPI,NXP SEMICONDUCTORS NV,Aktie,2024-04-19 16:20:00,Zugeteilt,100,230.00,"23,000.00","-1,488.00",0.00,0.00,,"-1,488.00",,Nicht pro Trade isolierbar aus MTM-PDF; nur Klassen-Gesamtwert in EUR vorhanden,OK,,,,,,,,,,ENTRY/Bestandsaufbau
14,Aktie,NXPI,NXP SEMICONDUCTORS NV,Aktie,2024-04-26 16:20:00,Zugeteilt,-100,240.00,"-24,000.00",-713.00,0.00,0.00,,-713.00,,Nicht pro Trade isolierbar aus MTM-PDF; nur Klassen-Gesamtwert in EUR vorhanden,OK,P0006,2024-04-19 16:20:00,230.0,100.0,2024-04-26 16:20:00,240.0,100.0,-713.00,"Bestandsgegenrichtung (FIFO, heuristisch)",
15,Aktie,SHEL,SHELL PLC-ADR,Aktie,2024-05-17 16:20:00,Zugeteilt,300,72.00,"21,600.00",-24.00,0.00,0.00,,-24.00,,Nicht pro Trade isolierbar aus MTM-PDF; nur Klassen-Gesamtwert in EUR vorhanden,OK,,,,,,,,,,ENTRY/Bestandsaufbau
16,Aktie,SHEL,SHELL PLC-ADR,Aktie,2024-05-31 16:20:00,Zugeteilt,-300,72.00,"-21,600.00",357.00,0.00,0.00,,357.00,,Nicht pro Trade isolierbar aus MTM-PDF; nur Klassen-Gesamtwert in EUR vorhanden,OK,P0007,2024-05-17 16:20:00,72.0,300.0,2024-05-31 16:20:00,72.0,300.0,357.00,"Bestandsgegenrichtung (FIFO, heuristisch)",
17,Aktie,TSM,TAIWAN SEMICONDUCTOR-SPADR,Aktie,2024-07-19 16:20:00,Zugeteilt,100,172.50,"17,250.00",-673.00,0.00,0.00,,-673.00,,Nicht pro Trade isolierbar aus MTM-PDF; nur Klassen-Gesamtwert in EUR vorhanden,OK,,,,,,,,,,ENTRY/Bestandsaufbau
18,Aktie,TSM,TAIWAN SEMICONDUCTOR-SPADR,Aktie,2024-08-05 09:57:49,Verkauf,-100,142.00,"-14,200.00",-595.00,-1.00,0.00,,-596.00,,Nicht pro Trade isolierbar aus MTM-PDF; nur Klassen-Gesamtwert in EUR vorhanden,OK,P0008,2024-07-19 16:20:00,172.5,100.0,2024-08-05 09:57:49,142.0,100.0,-596.00,"Bestandsgegenrichtung (FIFO, heuristisch)",
19,Option,ACN,,Stillhalter,2024-03-21 10:31:42,Verkauf,-1,0.85,-85.00,-195.00,-1.50,0.00,,-196.50,,Nicht pro Trade isolierbar aus MTM-PDF; nur Klassen-Gesamtwert in EUR vorhanden,OK,,,,,,,,,,ENTRY Short-Option
20,Option,ACN,,Stillhalter,2024-03-22 16:20:00,Zugeteilt,1,-,0.00,750.00,0.00,0.00,,750.00,,Nicht pro Trade isolierbar aus MTM-PDF; nur Klassen-Gesamtwert in EUR vorhanden,OK,P0009,2024-03-21 10:31:42,0.85,1.0,2024-03-22 16:20:00,,1.0,750.00,Exit-Zeile Gesamt-PnL (MTM),
21,Option,ASO,ASO 22MAR24 63 P,Stillhalter,2024-03-21 10:29:33,Verkauf,-4,0.28,-112.00,-103.40,-6.00,0.00,,-109.40,,Nicht pro Trade isolierbar aus MTM-PDF; nur Klassen-Gesamtwert in EUR vorhanden,OK,,,,,,,,,,ENTRY Short-Option
22,Option,ASO,ASO 22MAR24 63 P,Stillhalter,2024-03-22 16:20:00,Verfallen,4,-,0.00,0.00,0.00,0.00,,0.00,,Nicht pro Trade isolierbar aus MTM-PDF; nur Klassen-Gesamtwert in EUR vorhanden,OK,P0010,2024-03-21 10:29:33,0.28,4.0,2024-03-22 16:20:00,,4.0,0.00,Exit-Zeile Gesamt-PnL (MTM),
23,Option,CAR,CAR 19JAN24 160 P,Stillhalter,2024-01-09 10:19:10,Verkauf,-2,1.45,-290.00,105.00,-3.00,0.00,,102.00,,Nicht pro Trade isolierbar aus MTM-PDF; nur Klassen-Gesamtwert in EUR vorhanden,OK,,,,,,,,,,ENTRY Short-Option
24,Option,CAR,CAR 19JAN24 160 P,Stillhalter,2024-01-19 12:29:24,Kauf,2,0.14,28.00,-28.00,-3.00,0.00,,-31.00,,Nicht pro Trade isolierbar aus MTM-PDF; nur Klassen-Gesamtwert in EUR vorhanden,OK,P0011,2024-01-09 10:19:10,1.45,2.0,2024-01-19 12:29:24,0.14,2.0,-31.00,Exit-Zeile Gesamt-PnL (MTM),
